"","leto","drzava","drzavljanstvo","spol","stevilo"
"1",2008,"Belgium","Bulgaria","Males",NA
"2",2008,"Belgium","Bulgaria","Females",NA
"3",2008,"Belgium","Czech Republic","Males",NA
"4",2008,"Belgium","Czech Republic","Females",NA
"5",2008,"Belgium","Denmark","Males",NA
"6",2008,"Belgium","Denmark","Females",NA
"7",2008,"Belgium","Germany (until 1990 former territory of the FRG)","Males",NA
"8",2008,"Belgium","Germany (until 1990 former territory of the FRG)","Females",NA
"9",2008,"Belgium","Estonia","Males",NA
"10",2008,"Belgium","Estonia","Females",NA
"11",2008,"Belgium","Ireland","Males",NA
"12",2008,"Belgium","Ireland","Females",NA
"13",2008,"Belgium","Greece","Males",NA
"14",2008,"Belgium","Greece","Females",NA
"15",2008,"Belgium","Spain","Males",NA
"16",2008,"Belgium","Spain","Females",NA
"17",2008,"Belgium","France","Males",NA
"18",2008,"Belgium","France","Females",NA
"19",2008,"Belgium","Croatia","Males",NA
"20",2008,"Belgium","Croatia","Females",NA
"21",2008,"Belgium","Italy","Males",NA
"22",2008,"Belgium","Italy","Females",NA
"23",2008,"Belgium","Cyprus","Males",NA
"24",2008,"Belgium","Cyprus","Females",NA
"25",2008,"Belgium","Latvia","Males",NA
"26",2008,"Belgium","Latvia","Females",NA
"27",2008,"Belgium","Lithuania","Males",NA
"28",2008,"Belgium","Lithuania","Females",NA
"29",2008,"Belgium","Luxembourg","Males",NA
"30",2008,"Belgium","Luxembourg","Females",NA
"31",2008,"Belgium","Hungary","Males",NA
"32",2008,"Belgium","Hungary","Females",NA
"33",2008,"Belgium","Malta","Males",NA
"34",2008,"Belgium","Malta","Females",NA
"35",2008,"Belgium","Netherlands","Males",NA
"36",2008,"Belgium","Netherlands","Females",NA
"37",2008,"Belgium","Austria","Males",NA
"38",2008,"Belgium","Austria","Females",NA
"39",2008,"Belgium","Poland","Males",NA
"40",2008,"Belgium","Poland","Females",NA
"41",2008,"Belgium","Portugal","Males",NA
"42",2008,"Belgium","Portugal","Females",NA
"43",2008,"Belgium","Romania","Males",NA
"44",2008,"Belgium","Romania","Females",NA
"45",2008,"Belgium","Slovenia","Males",NA
"46",2008,"Belgium","Slovenia","Females",NA
"47",2008,"Belgium","Slovakia","Males",NA
"48",2008,"Belgium","Slovakia","Females",NA
"49",2008,"Belgium","Finland","Males",NA
"50",2008,"Belgium","Finland","Females",NA
"51",2008,"Belgium","Sweden","Males",NA
"52",2008,"Belgium","Sweden","Females",NA
"53",2008,"Belgium","United Kingdom","Males",NA
"54",2008,"Belgium","United Kingdom","Females",NA
"55",2008,"Belgium","Iceland","Males",NA
"56",2008,"Belgium","Iceland","Females",NA
"57",2008,"Belgium","Liechtenstein","Males",NA
"58",2008,"Belgium","Liechtenstein","Females",NA
"59",2008,"Belgium","Norway","Males",NA
"60",2008,"Belgium","Norway","Females",NA
"61",2008,"Belgium","Switzerland","Males",NA
"62",2008,"Belgium","Switzerland","Females",NA
"63",2008,"Belgium","Former Yugoslav Republic of Macedonia, the","Males",NA
"64",2008,"Belgium","Former Yugoslav Republic of Macedonia, the","Females",NA
"65",2008,"Belgium","Turkey","Males",NA
"66",2008,"Belgium","Turkey","Females",NA
"67",2008,"Belgium","Andorra","Males",NA
"68",2008,"Belgium","Andorra","Females",NA
"69",2008,"Belgium","Albania","Males",NA
"70",2008,"Belgium","Albania","Females",NA
"71",2008,"Belgium","Bosnia and Herzegovina","Males",NA
"72",2008,"Belgium","Bosnia and Herzegovina","Females",NA
"73",2008,"Belgium","Belarus","Males",NA
"74",2008,"Belgium","Belarus","Females",NA
"75",2008,"Belgium","Faroes (DK)","Males",NA
"76",2008,"Belgium","Faroes (DK)","Females",NA
"77",2008,"Belgium","Guernsey","Males",NA
"78",2008,"Belgium","Guernsey","Females",NA
"79",2008,"Belgium","Gibraltar (UK)","Males",NA
"80",2008,"Belgium","Gibraltar (UK)","Females",NA
"81",2008,"Belgium","Isle of Man","Males",NA
"82",2008,"Belgium","Isle of Man","Females",NA
"83",2008,"Belgium","Jersey","Males",NA
"84",2008,"Belgium","Jersey","Females",NA
"85",2008,"Belgium","Monaco","Males",NA
"86",2008,"Belgium","Monaco","Females",NA
"87",2008,"Belgium","Moldova","Males",NA
"88",2008,"Belgium","Moldova","Females",NA
"89",2008,"Belgium","Montenegro","Males",NA
"90",2008,"Belgium","Montenegro","Females",NA
"91",2008,"Belgium","Serbia","Males",NA
"92",2008,"Belgium","Serbia","Females",NA
"93",2008,"Belgium","Russia","Males",NA
"94",2008,"Belgium","Russia","Females",NA
"95",2008,"Belgium","San Marino","Males",NA
"96",2008,"Belgium","San Marino","Females",NA
"97",2008,"Belgium","Ukraine","Males",NA
"98",2008,"Belgium","Ukraine","Females",NA
"99",2008,"Belgium","Vatican City State","Males",NA
"100",2008,"Belgium","Vatican City State","Females",NA
"101",2008,"Belgium","Kosovo (under United Nations Security Council Resolution 1244/99)","Males",NA
"102",2008,"Belgium","Kosovo (under United Nations Security Council Resolution 1244/99)","Females",NA
"103",2008,"Belgium","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Males",NA
"104",2008,"Belgium","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Females",NA
"105",2008,"Belgium","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Males",NA
"106",2008,"Belgium","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Females",NA
"107",2008,"Belgium","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Males",NA
"108",2008,"Belgium","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Females",NA
"109",2008,"Belgium","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Males",NA
"110",2008,"Belgium","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Females",NA
"111",2008,"Belgium","Recognised non-citizens","Males",NA
"112",2008,"Belgium","Recognised non-citizens","Females",NA
"113",2008,"Belgium","Other european countries (aggregate changing according to the context)","Males",NA
"114",2008,"Belgium","Other european countries (aggregate changing according to the context)","Females",NA
"115",2008,"Bulgaria","Belgium","Males",NA
"116",2008,"Bulgaria","Belgium","Females",NA
"117",2008,"Bulgaria","Czech Republic","Males",NA
"118",2008,"Bulgaria","Czech Republic","Females",NA
"119",2008,"Bulgaria","Denmark","Males",NA
"120",2008,"Bulgaria","Denmark","Females",NA
"121",2008,"Bulgaria","Germany (until 1990 former territory of the FRG)","Males",NA
"122",2008,"Bulgaria","Germany (until 1990 former territory of the FRG)","Females",NA
"123",2008,"Bulgaria","Estonia","Males",NA
"124",2008,"Bulgaria","Estonia","Females",NA
"125",2008,"Bulgaria","Ireland","Males",NA
"126",2008,"Bulgaria","Ireland","Females",NA
"127",2008,"Bulgaria","Greece","Males",NA
"128",2008,"Bulgaria","Greece","Females",NA
"129",2008,"Bulgaria","Spain","Males",NA
"130",2008,"Bulgaria","Spain","Females",NA
"131",2008,"Bulgaria","France","Males",NA
"132",2008,"Bulgaria","France","Females",NA
"133",2008,"Bulgaria","Croatia","Males",NA
"134",2008,"Bulgaria","Croatia","Females",NA
"135",2008,"Bulgaria","Italy","Males",NA
"136",2008,"Bulgaria","Italy","Females",NA
"137",2008,"Bulgaria","Cyprus","Males",NA
"138",2008,"Bulgaria","Cyprus","Females",NA
"139",2008,"Bulgaria","Latvia","Males",NA
"140",2008,"Bulgaria","Latvia","Females",NA
"141",2008,"Bulgaria","Lithuania","Males",NA
"142",2008,"Bulgaria","Lithuania","Females",NA
"143",2008,"Bulgaria","Luxembourg","Males",NA
"144",2008,"Bulgaria","Luxembourg","Females",NA
"145",2008,"Bulgaria","Hungary","Males",NA
"146",2008,"Bulgaria","Hungary","Females",NA
"147",2008,"Bulgaria","Malta","Males",NA
"148",2008,"Bulgaria","Malta","Females",NA
"149",2008,"Bulgaria","Netherlands","Males",NA
"150",2008,"Bulgaria","Netherlands","Females",NA
"151",2008,"Bulgaria","Austria","Males",NA
"152",2008,"Bulgaria","Austria","Females",NA
"153",2008,"Bulgaria","Poland","Males",NA
"154",2008,"Bulgaria","Poland","Females",NA
"155",2008,"Bulgaria","Portugal","Males",NA
"156",2008,"Bulgaria","Portugal","Females",NA
"157",2008,"Bulgaria","Romania","Males",NA
"158",2008,"Bulgaria","Romania","Females",NA
"159",2008,"Bulgaria","Slovenia","Males",NA
"160",2008,"Bulgaria","Slovenia","Females",NA
"161",2008,"Bulgaria","Slovakia","Males",NA
"162",2008,"Bulgaria","Slovakia","Females",NA
"163",2008,"Bulgaria","Finland","Males",NA
"164",2008,"Bulgaria","Finland","Females",NA
"165",2008,"Bulgaria","Sweden","Males",NA
"166",2008,"Bulgaria","Sweden","Females",NA
"167",2008,"Bulgaria","United Kingdom","Males",NA
"168",2008,"Bulgaria","United Kingdom","Females",NA
"169",2008,"Bulgaria","Iceland","Males",NA
"170",2008,"Bulgaria","Iceland","Females",NA
"171",2008,"Bulgaria","Liechtenstein","Males",NA
"172",2008,"Bulgaria","Liechtenstein","Females",NA
"173",2008,"Bulgaria","Norway","Males",NA
"174",2008,"Bulgaria","Norway","Females",NA
"175",2008,"Bulgaria","Switzerland","Males",NA
"176",2008,"Bulgaria","Switzerland","Females",NA
"177",2008,"Bulgaria","Former Yugoslav Republic of Macedonia, the","Males",NA
"178",2008,"Bulgaria","Former Yugoslav Republic of Macedonia, the","Females",NA
"179",2008,"Bulgaria","Turkey","Males",NA
"180",2008,"Bulgaria","Turkey","Females",NA
"181",2008,"Bulgaria","Andorra","Males",NA
"182",2008,"Bulgaria","Andorra","Females",NA
"183",2008,"Bulgaria","Albania","Males",NA
"184",2008,"Bulgaria","Albania","Females",NA
"185",2008,"Bulgaria","Bosnia and Herzegovina","Males",NA
"186",2008,"Bulgaria","Bosnia and Herzegovina","Females",NA
"187",2008,"Bulgaria","Belarus","Males",NA
"188",2008,"Bulgaria","Belarus","Females",NA
"189",2008,"Bulgaria","Faroes (DK)","Males",NA
"190",2008,"Bulgaria","Faroes (DK)","Females",NA
"191",2008,"Bulgaria","Guernsey","Males",NA
"192",2008,"Bulgaria","Guernsey","Females",NA
"193",2008,"Bulgaria","Gibraltar (UK)","Males",NA
"194",2008,"Bulgaria","Gibraltar (UK)","Females",NA
"195",2008,"Bulgaria","Isle of Man","Males",NA
"196",2008,"Bulgaria","Isle of Man","Females",NA
"197",2008,"Bulgaria","Jersey","Males",NA
"198",2008,"Bulgaria","Jersey","Females",NA
"199",2008,"Bulgaria","Monaco","Males",NA
"200",2008,"Bulgaria","Monaco","Females",NA
"201",2008,"Bulgaria","Moldova","Males",NA
"202",2008,"Bulgaria","Moldova","Females",NA
"203",2008,"Bulgaria","Montenegro","Males",NA
"204",2008,"Bulgaria","Montenegro","Females",NA
"205",2008,"Bulgaria","Serbia","Males",NA
"206",2008,"Bulgaria","Serbia","Females",NA
"207",2008,"Bulgaria","Russia","Males",NA
"208",2008,"Bulgaria","Russia","Females",NA
"209",2008,"Bulgaria","San Marino","Males",NA
"210",2008,"Bulgaria","San Marino","Females",NA
"211",2008,"Bulgaria","Ukraine","Males",NA
"212",2008,"Bulgaria","Ukraine","Females",NA
"213",2008,"Bulgaria","Vatican City State","Males",NA
"214",2008,"Bulgaria","Vatican City State","Females",NA
"215",2008,"Bulgaria","Kosovo (under United Nations Security Council Resolution 1244/99)","Males",NA
"216",2008,"Bulgaria","Kosovo (under United Nations Security Council Resolution 1244/99)","Females",NA
"217",2008,"Bulgaria","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Males",NA
"218",2008,"Bulgaria","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Females",NA
"219",2008,"Bulgaria","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Males",NA
"220",2008,"Bulgaria","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Females",NA
"221",2008,"Bulgaria","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Males",NA
"222",2008,"Bulgaria","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Females",NA
"223",2008,"Bulgaria","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Males",NA
"224",2008,"Bulgaria","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Females",NA
"225",2008,"Bulgaria","Recognised non-citizens","Males",NA
"226",2008,"Bulgaria","Recognised non-citizens","Females",NA
"227",2008,"Bulgaria","Other european countries (aggregate changing according to the context)","Males",NA
"228",2008,"Bulgaria","Other european countries (aggregate changing according to the context)","Females",NA
"229",2008,"Czech Republic","Belgium","Males",50
"230",2008,"Czech Republic","Belgium","Females",14
"231",2008,"Czech Republic","Bulgaria","Males",774
"232",2008,"Czech Republic","Bulgaria","Females",382
"233",2008,"Czech Republic","Denmark","Males",19
"234",2008,"Czech Republic","Denmark","Females",7
"235",2008,"Czech Republic","Germany (until 1990 former territory of the FRG)","Males",5219
"236",2008,"Czech Republic","Germany (until 1990 former territory of the FRG)","Females",656
"237",2008,"Czech Republic","Estonia","Males",9
"238",2008,"Czech Republic","Estonia","Females",5
"239",2008,"Czech Republic","Ireland","Males",98
"240",2008,"Czech Republic","Ireland","Females",29
"241",2008,"Czech Republic","Greece","Males",59
"242",2008,"Czech Republic","Greece","Females",13
"243",2008,"Czech Republic","Spain","Males",70
"244",2008,"Czech Republic","Spain","Females",34
"245",2008,"Czech Republic","France","Males",222
"246",2008,"Czech Republic","France","Females",95
"247",2008,"Czech Republic","Croatia","Males",104
"248",2008,"Czech Republic","Croatia","Females",40
"249",2008,"Czech Republic","Italy","Males",296
"250",2008,"Czech Republic","Italy","Females",61
"251",2008,"Czech Republic","Cyprus","Males",7
"252",2008,"Czech Republic","Cyprus","Females",4
"253",2008,"Czech Republic","Latvia","Males",4
"254",2008,"Czech Republic","Latvia","Females",15
"255",2008,"Czech Republic","Lithuania","Males",41
"256",2008,"Czech Republic","Lithuania","Females",26
"257",2008,"Czech Republic","Luxembourg","Males",2
"258",2008,"Czech Republic","Luxembourg","Females",0
"259",2008,"Czech Republic","Hungary","Males",42
"260",2008,"Czech Republic","Hungary","Females",30
"261",2008,"Czech Republic","Malta","Males",0
"262",2008,"Czech Republic","Malta","Females",0
"263",2008,"Czech Republic","Netherlands","Males",263
