"","leto","drzava","stevilo"
"1","2008","Austria",NA
"2","2008","Belgium",11000
"3","2008","Bulgaria",NA
"4","2008","Croatia",NA
"5","2008","Cyprus",4000
"6","2008","Czech Republic",1000
"7","2008","Denmark",2000
"8","2008","Estonia",NA
"9","2008","Finland",NA
"10","2008","France",NA
"11","2008","Germany",21000
"12","2008","Greece",NA
"13","2008","Hungary",NA
"14","2008","Ireland",4000
"15","2008","Italy",30000
"16","2008","Latvia",NA
"17","2008","Lithuania",NA
"18","2008","Luxembourg",NA
"19","2008","Malta",3000
"20","2008","Netherlands",13000
"21","2008","Norway",14000
"22","2008","Poland",7000
"23","2008","Portugal",NA
"24","2008","Romania",NA
"25","2008","Slovakia",NA
"26","2008","Slovenia",NA
"27","2008","Spain",NA
"28","2008","Sweden",24000
"29","2008","Switzerland",15000
"30","2008","United Kingdom",31000
"31","2009","Austria",NA
"32","2009","Belgium",17000
"33","2009","Bulgaria",NA
"34","2009","Croatia",NA
"35","2009","Cyprus",3000
"36","2009","Czech Republic",1000
"37","2009","Denmark",4000
"38","2009","Estonia",NA
"39","2009","Finland",NA
"40","2009","France",42000
"41","2009","Germany",28000
"42","2009","Greece",NA
"43","2009","Hungary",NA
"44","2009","Ireland",3000
"45","2009","Italy",18000
"46","2009","Latvia",NA
"47","2009","Lithuania",NA
"48","2009","Luxembourg",NA
"49","2009","Malta",2000
"50","2009","Netherlands",15000
"51","2009","Norway",17000
"52","2009","Poland",10000
"53","2009","Portugal",NA
"54","2009","Romania",NA
"55","2009","Slovakia",NA
"56","2009","Slovenia",NA
"57","2009","Spain",NA
"58","2009","Sweden",24000
"59","2009","Switzerland",14000
"60","2009","United Kingdom",31000
"61","2010","Austria",NA
"62","2010","Belgium",22000
"63","2010","Bulgaria",NA
"64","2010","Croatia",NA
"65","2010","Cyprus",3000
"66","2010","Czech Republic",NA
"67","2010","Denmark",5000
"68","2010","Estonia",NA
"69","2010","Finland",NA
"70","2010","France",48000
"71","2010","Germany",41000
"72","2010","Greece",NA
"73","2010","Hungary",NA
"74","2010","Ireland",2000
"75","2010","Italy",10000
"76","2010","Latvia",NA
"77","2010","Lithuania",NA
"78","2010","Luxembourg",NA
"79","2010","Malta",NA
"80","2010","Netherlands",13000
"81","2010","Norway",9000
"82","2010","Poland",4000
"83","2010","Portugal",NA
"84","2010","Romania",NA
"85","2010","Slovakia",NA
"86","2010","Slovenia",NA
"87","2010","Spain",3000
"88","2010","Sweden",32000
"89","2010","Switzerland",14000
"90","2010","United Kingdom",23000
"91","2011","Austria",NA
"92","2011","Belgium",26000
"93","2011","Bulgaria",1000
"94","2011","Croatia",NA
"95","2011","Cyprus",2000
"96","2011","Czech Republic",NA
"97","2011","Denmark",4000
"98","2011","Estonia",NA
"99","2011","Finland",NA
"100","2011","France",52000
"101","2011","Germany",46000
"102","2011","Greece",9000
"103","2011","Hungary",NA
"104","2011","Ireland",1000
"105","2011","Italy",40000
"106","2011","Latvia",NA
"107","2011","Lithuania",NA
"108","2011","Luxembourg",2000
"109","2011","Malta",2000
"110","2011","Netherlands",12000
"111","2011","Norway",9000
"112","2011","Poland",5000
"113","2011","Portugal",NA
"114","2011","Romania",2000
"115","2011","Slovakia",NA
"116","2011","Slovenia",NA
"117","2011","Spain",3000
"118","2011","Sweden",30000
"119","2011","Switzerland",19000
"120","2011","United Kingdom",26000
"121","2012","Austria",NA
"122","2012","Belgium",18000
"123","2012","Bulgaria",1000
"124","2012","Croatia",NA
"125","2012","Cyprus",2000
"126","2012","Czech Republic",1000
"127","2012","Denmark",6000
"128","2012","Estonia",NA
"129","2012","Finland",3000
"130","2012","France",54000
"131","2012","Germany",65000
"132","2012","Greece",10000
"133","2012","Hungary",NA
"134","2012","Ireland",1000
"135","2012","Italy",17000
"136","2012","Latvia",NA
"137","2012","Lithuania",1000
"138","2012","Luxembourg",2000
"139","2012","Malta",2000
"140","2012","Netherlands",10000
"141","2012","Norway",9000
"142","2012","Poland",9000
"143","2012","Portugal",NA
"144","2012","Romania",2000
"145","2012","Slovakia",1000
"146","2012","Slovenia",NA
"147","2012","Spain",2000
"148","2012","Sweden",44000
"149","2012","Switzerland",26000
"150","2012","United Kingdom",28000
"151","2013","Austria",NA
"152","2013","Belgium",12000
"153","2013","Bulgaria",7000
"154","2013","Croatia",1000
"155","2013","Cyprus",1000
"156","2013","Czech Republic",1000
"157","2013","Denmark",7000
"158","2013","Estonia",NA
"159","2013","Finland",3000
"160","2013","France",60000
"161","2013","Germany",110000
"162","2013","Greece",8000
"163","2013","Hungary",19000
"164","2013","Ireland",1000
"165","2013","Italy",26000
"166","2013","Latvia",NA
"167","2013","Lithuania",NA
"168","2013","Luxembourg",1000
"169","2013","Malta",2000
"170","2013","Netherlands",10000
"171","2013","Norway",11000
"172","2013","Poland",14000
"173","2013","Portugal",1000
"174","2013","Romania",1000
"175","2013","Slovakia",NA
"176","2013","Slovenia",NA
"177","2013","Spain",4000
"178","2013","Sweden",54000
"179","2013","Switzerland",19000
"180","2013","United Kingdom",30000
"181","2014","Austria",26000
"182","2014","Belgium",14000
"183","2014","Bulgaria",11000
"184","2014","Croatia",NA
"185","2014","Cyprus",1000
"186","2014","Czech Republic",1000
"187","2014","Denmark",15000
"188","2014","Estonia",NA
"189","2014","Finland",3000
"190","2014","France",59000
"191","2014","Germany",173000
"192","2014","Greece",8000
"193","2014","Hungary",41000
"194","2014","Ireland",1000
"195","2014","Italy",64000
"196","2014","Latvia",NA
"197","2014","Lithuania",NA
"198","2014","Luxembourg",1000
"199","2014","Malta",1000
"200","2014","Netherlands",22000
"201","2014","Norway",11000
"202","2014","Poland",6000
"203","2014","Portugal",NA
"204","2014","Romania",2000
"205","2014","Slovakia",NA
"206","2014","Slovenia",NA
"207","2014","Spain",5000
"208","2014","Sweden",75000
"209","2014","Switzerland",22000
"210","2014","United Kingdom",32000
"211","2015","Austria",86000
"212","2015","Belgium",39000
"213","2015","Bulgaria",20000
"214","2015","Croatia",NA
"215","2015","Cyprus",2000
"216","2015","Czech Republic",1000
"217","2015","Denmark",21000
"218","2015","Estonia",NA
"219","2015","Finland",32000
"220","2015","France",71000
"221","2015","Germany",442000
"222","2015","Greece",11000
"223","2015","Hungary",174000
"224","2015","Ireland",3000
"225","2015","Italy",83000
"226","2015","Latvia",NA
"227","2015","Lithuania",NA
"228","2015","Luxembourg",2000
"229","2015","Malta",2000
"230","2015","Netherlands",43000
"231","2015","Norway",31000
"232","2015","Poland",10000
"233","2015","Portugal",1000
"234","2015","Romania",1000
"235","2015","Slovakia",NA
"236","2015","Slovenia",NA
"237","2015","Spain",15000
"238","2015","Sweden",156000
"239","2015","Switzerland",38000
"240","2015","United Kingdom",39000
